subset,threshold,coverage,accepted_n,selective_accuracy,selective_risk
all,0.58,0.9008718114304165,2790,0.9390681003584229,0.06093189964157708
all,0.59,0.8950597352276396,2772,0.9404761904761905,0.059523809523809534
all,0.6,0.8918308040038747,2762,0.941708906589428,0.05829109341057204
all,0.61,0.8840813690668389,2738,0.9441197954711468,0.05588020452885323
all,0.62,0.878915079108815,2722,0.9448934606906686,0.055106539309331404
all,0.63,0.8721343235389086,2701,0.9489078119215105,0.051092188078489476
all,0.64,0.8653535679690023,2680,0.9503731343283582,0.04962686567164176
all,0.65,0.8614788505004843,2668,0.9512743628185907,0.04872563718140932
all,0.66,0.8585728123990959,2659,0.9518616021060549,0.04813839789394514
all,0.67,0.854052308685825,2645,0.955765595463138,0.044234404536862004
all,0.68,0.8498546980949305,2632,0.9570668693009119,0.04293313069908811
all,0.69,0.8382305456893768,2596,0.9610939907550077,0.03890600924499232
all,0.7,0.8288666451404585,2567,0.9633813790416829,0.03661862095831714
all,0.71,0.8288666451404585,2567,0.9633813790416829,0.03661862095831714
all,0.72,0.8230545689376816,2549,0.9639074146724206,0.03609258532757942
all,0.73,0.8188569583467872,2536,0.9649053627760252,0.03509463722397477
all,0.74,0.8127219890216338,2517,0.9662296384584823,0.03377036154151769
all,0.75,0.806264126574104,2497,0.9675610732879455,0.032438926712054506
all,0.76,0.800452050371327,2479,0.9685356998789835,0.03146430012101653
all,0.77,0.7936712948014207,2458,0.9707078925956062,0.029292107404393808
all,0.78,0.7862447529867613,2435,0.9716632443531827,0.028336755646817258
all,0.79,0.778818211172102,2412,0.972636815920398,0.027363184079602032
all,0.8,0.7717145624798192,2390,0.9736401673640167,0.026359832635983294
all,0.81,0.7613819825637714,2358,0.9754028837998303,0.02459711620016969
all,0.82,0.7500807232805942,2323,0.9780456306500215,0.02195436934997852
all,0.83,0.7371649983855344,2283,0.9798510731493649,0.020148926850635074
all,0.84,0.7371649983855344,2283,0.9798510731493649,0.020148926850635074
all,0.85,0.7268324184694867,2251,0.9808973789426921,0.019102621057307867
all,0.86,0.7197287697772038,2229,0.9811574697173621,0.018842530282637937
all,0.87,0.7123022279625444,2206,0.9823209428830463,0.017679057116953723
all,0.88,0.7042298999031321,2181,0.9857863365428703,0.01421366345712971
all,0.89,0.6961575718437197,2156,0.9879406307977736,0.012059369202226389
all,0.9,0.6848563125605425,2121,0.9900990099009901,0.00990099009900991
all,0.91,0.6696803358088472,2074,0.9898746383799422,0.010125361620057838
all,0.92,0.6561188246690346,2032,0.9916338582677166,0.00836614173228345
all,0.93,0.6396512754278334,1981,0.9934376577486118,0.006562342251388187
all,0.94,0.6018727801097836,1864,0.9957081545064378,0.0042918454935622075
all,0.95,0.5724895059735228,1773,0.9960518894529047,0.003948110547095318
all,0.96,0.5724895059735228,1773,0.9960518894529047,0.003948110547095318
all,0.97,0.5337423312883436,1653,0.9981851179673321,0.001814882032667886
all,0.98,0.49047465288989345,1519,0.9980250164581962,0.0019749835418038098
all,0.99,0.43267678398450116,1340,0.9985074626865672,0.0014925373134327957
all,1.0,0.32353890862124635,1002,1.0,0.0
no-image,0.0,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.01,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.02,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.03,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.04,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.05,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.06,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.07,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.08,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.09,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.1,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.11,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.12,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.13,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.14,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.15,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.16,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.17,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.18,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.19,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.2,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.21,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.22,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.23,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.24,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.25,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.26,1.0,2243,0.9210878288007134,0.07891217119928662
no-image,0.27,0.9995541685242978,2242,0.9214986619090099,0.07850133809099014
no-image,0.28,0.9986625055728935,2240,0.921875,0.078125
no-image,0.29,0.9982166740971913,2239,0.9222867351496203,0.07771326485037966
no-image,0.3,0.9977708426214891,2238,0.9226988382484361,0.07730116175156387
no-image,0.31,0.9973250111457869,2237,0.9226642825212338,0.07733571747876622
no-image,0.32,0.9964333481943826,2235,0.9230425055928412,0.07695749440715882
no-image,0.33,0.9955416852429781,2233,0.9234214061800269,0.07657859381997312
no-image,0.34,0.9942041908158716,2230,0.9246636771300448,0.07533632286995517
no-image,0.35,0.9924208649130629,2226,0.9254267744833783,0.07457322551662171
no-image,0.36,0.9919750334373607,2225,0.9253932584269663,0.07460674157303371
no-image,0.37,0.990191707534552,2221,0.9266096352994146,0.07339036470058535
no-image,0.38,0.9884083816317432,2217,0.9282814614343707,0.07171853856562926
no-image,0.39,0.9875167186803389,2215,0.9286681715575621,0.0713318284424379
no-image,0.4,0.9857333927775301,2211,0.9294436906377205,0.07055630936227952
no-image,0.41,0.9826125724476148,2204,0.9319419237749547,0.06805807622504534
no-image,0.42,0.9826125724476148,2204,0.9319419237749547,0.06805807622504534
no-image,0.43,0.9808292465448061,2200,0.9331818181818182,0.06681818181818178
no-image,0.44,0.9777084262148907,2193,0.9357045143638851,0.06429548563611487
no-image,0.45,0.9750334373606777,2187,0.9368998628257887,0.06310013717421126
no-image,0.46,0.9714667855550602,2179,0.937586048646168,0.06241395135383199
no-image,0.47,0.9679001337494427,2171,0.9396591432519577,0.06034085674804235
no-image,0.48,0.9679001337494427,2171,0.9396591432519577,0.06034085674804235
no-image,0.49,0.9629959875167187,2160,0.9416666666666667,0.05833333333333335
no-image,0.5,0.9598751671868034,2153,0.9424059451927543,0.057594054807245665
no-image,0.51,0.9558626839054837,2144,0.9449626865671642,0.0550373134328358
no-image,0.52,0.9522960320998662,2136,0.9470973782771536,0.05290262172284643
no-image,0.53,0.949175211769951,2129,0.9483325504931893,0.05166744950681068
no-image,0.54,0.9447168970129292,2119,0.950920245398773,0.049079754601227044
no-image,0.55,0.9380294248773964,2104,0.9534220532319392,0.04657794676806082
no-image,0.56,0.9304502897904592,2087,0.9563967417345473,0.04360325826545275
no-image,0.57,0.9228711547035221,2070,0.9599033816425121,0.0400966183574879
no-image,0.58,0.9224253232278199,2069,0.9598840019333011,0.040115998066698855
no-image,0.59,0.917967008470798,2059,0.9601748421563866,0.0398251578436134
no-image,0.6,0.9152920196165849,2053,0.9610326351680467,0.03896736483195329
no-image,0.61,0.9090503789567543,2039,0.9622363903874448,0.037763609612555205
no-image,0.62,0.9041462327240303,2028,0.9625246548323472,0.03747534516765283
no-image,0.63,0.8979045920641997,2014,0.9662363455809335,0.03376365441906648
no-image,0.64,0.8916629514043691,2000,0.9665,0.033499999999999974
no-image,0.65,0.8876504681230495,1991,0.9668508287292817,0.03314917127071826
no-image,0.66,0.8849754792688364,1985,0.9672544080604534,0.032745591939546626
no-image,0.67,0.8823004904146232,1979,0.9691763516927742,0.030823648307225837
no-image,0.68,0.879179670084708,1972,0.9700811359026369,0.029918864097363107
no-image,0.69,0.8684797146678556,1948,0.9727926078028748,0.027207392197125202
no-image,0.7,0.8573339277753009,1923,0.9750390015600624,0.0249609984399376
no-image,0.71,0.8573339277753009,1923,0.9750390015600624,0.0249609984399376
no-image,0.72,0.8528756130182791,1913,0.9754312598013591,0.02456874019864086
no-image,0.73,0.8484172982612572,1903,0.976353126642144,0.02364687335785598
no-image,0.74,0.8430673205528311,1891,0.9767318878900053,0.023268112109994687
no-image,0.75,0.8372715113687026,1878,0.9781682641107561,0.02183173588924392
no-image,0.76,0.8319215336602764,1866,0.9790996784565916,0.020900321543408373
no-image,0.77,0.8252340615247437,1851,0.9810913019989195,0.018908698001080526
no-image,0.78,0.8189924208649131,1837,0.9814915623298857,0.01850843767011434
no-image,0.79,0.8136424431564868,1825,0.9819178082191781,0.018082191780821932
no-image,0.8,0.8078466339723585,1812,0.9828918322295805,0.017108167770419458
no-image,0.81,0.799375835934017,1793,0.9838259899609593,0.01617401003904073
no-image,0.82,0.790013374944271,1772,0.9853273137697517,0.01467268623024831
no-image,0.83,0.7784217565760143,1746,0.9873997709049256,0.012600229095074411
no-image,0.84,0.7784217565760143,1746,0.9873997709049256,0.012600229095074411
no-image,0.85,0.7686134641105662,1724,0.988399071925754,0.011600928074245953
no-image,0.86,0.7619259919750334,1709,0.9888823873610298,0.011117612638970154
no-image,0.87,0.7534551939366919,1690,0.9899408284023669,0.010059171597633143
no-image,0.88,0.7476593847525635,1677,0.9910554561717353,0.008944543828264706
no-image,0.89,0.7387427552385198,1657,0.9933614966807484,0.006638503319251643
no-image,0.9,0.7293802942487739,1636,0.9938875305623472,0.006112469437652757
no-image,0.91,0.7151136870263041,1604,0.9937655860349127,0.006234413965087282
no-image,0.92,0.703076237182345,1577,0.9949270767279645,0.005072923272035457
no-image,0.93,0.688363798484173,1544,0.9961139896373057,0.0038860103626943143
no-image,0.94,0.6535889433794025,1466,0.9972714870395635,0.0027285129604365244
no-image,0.95,0.6241640659830584,1400,0.9971428571428571,0.0028571428571428914
no-image,0.96,0.6241640659830584,1400,0.9971428571428571,0.0028571428571428914
no-image,0.97,0.5813642443156487,1304,0.9992331288343558,0.0007668711656442229
no-image,0.98,0.5354436023183237,1201,0.9991673605328892,0.0008326394671107629
no-image,0.99,0.4739188586714222,1063,1.0,0.0
no-image,1.0,0.3602318323673651,808,1.0,0.0
image-withheld,0.0,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.01,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.02,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.03,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.04,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.05,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.06,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.07,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.08,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.09,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.1,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.11,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.12,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.13,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.14,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.15,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.16,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.17,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.18,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.19,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.2,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.21,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.22,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.23,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.24,1.0,854,0.8044496487119438,0.1955503512880562
image-withheld,0.25,0.9988290398126464,853,0.8053927315357562,0.1946072684642438
image-withheld,0.26,0.9953161592505855,850,0.8070588235294117,0.19294117647058828
image-withheld,0.27,0.9941451990632318,849,0.8080094228504122,0.19199057714958778
image-withheld,0.28,0.9918032786885246,847,0.8099173553719008,0.1900826446280992
image-withheld,0.29,0.990632318501171,846,0.8108747044917257,0.18912529550827428
image-withheld,0.3,0.9871194379391101,843,0.8137603795966786,0.18623962040332143
image-withheld,0.31,0.9859484777517564,842,0.8147268408551069,0.18527315914489306
image-withheld,0.32,0.9824355971896955,839,0.8176400476758046,0.18235995232419544
image-withheld,0.33,0.9812646370023419,838,0.8186157517899761,0.18138424821002386
image-withheld,0.34,0.9754098360655737,833,0.8223289315726291,0.1776710684273709
image-withheld,0.35,0.9718969555035128,830,0.8253012048192772,0.17469879518072284
image-withheld,0.36,0.9718969555035128,830,0.8253012048192772,0.17469879518072284
image-withheld,0.37,0.9648711943793911,824,0.8288834951456311,0.1711165048543689
image-withheld,0.38,0.9625292740046838,822,0.8309002433090025,0.16909975669099753
image-withheld,0.39,0.9566744730679156,817,0.8335373317013464,0.16646266829865364
image-withheld,0.4,0.9508196721311475,812,0.8374384236453202,0.16256157635467983
image-withheld,0.41,0.9461358313817331,808,0.8391089108910891,0.16089108910891092
image-withheld,0.42,0.9437939110070258,806,0.8411910669975186,0.15880893300248144
image-withheld,0.43,0.9391100702576113,802,0.8428927680798005,0.15710723192019949
image-withheld,0.44,0.9355971896955504,799,0.8448060075093867,0.15519399249061328
image-withheld,0.45,0.9320843091334895,796,0.8467336683417085,0.1532663316582915
image-withheld,0.46,0.9238875878220141,789,0.8466413181242078,0.15335868187579216
image-withheld,0.47,0.914519906323185,781,0.8501920614596671,0.14980793854033292
image-withheld,0.48,0.914519906323185,781,0.8501920614596671,0.14980793854033292
image-withheld,0.49,0.9063231850117096,774,0.8552971576227391,0.14470284237726094
image-withheld,0.5,0.9039812646370023,772,0.8562176165803109,0.14378238341968907
image-withheld,0.51,0.8969555035128806,766,0.860313315926893,0.13968668407310703
image-withheld,0.52,0.8899297423887588,760,0.8644736842105263,0.13552631578947372
image-withheld,0.53,0.8817330210772834,753,0.8685258964143426,0.13147410358565736
image-withheld,0.54,0.8758782201405152,748,0.8689839572192514,0.13101604278074863
image-withheld,0.55,0.8641686182669789,738,0.8726287262872628,0.12737127371273715
image-withheld,0.56,0.8583138173302107,733,0.8744884038199181,0.1255115961800819
image-withheld,0.57,0.8442622950819673,721,0.8793342579750347,0.12066574202496527
image-withheld,0.58,0.8442622950819673,721,0.8793342579750347,0.12066574202496527
image-withheld,0.59,0.8348946135831382,713,0.8835904628330996,0.11640953716690039
image-withheld,0.6,0.8302107728337237,709,0.8857545839210155,0.11424541607898453
image-withheld,0.61,0.8185011709601874,699,0.8912732474964234,0.10872675250357655
image-withheld,0.62,0.8126463700234192,694,0.8933717579250721,0.10662824207492794
image-withheld,0.63,0.8044496487119438,687,0.8981077147016011,0.10189228529839889
image-withheld,0.64,0.7962529274004684,680,0.9029411764705882,0.09705882352941175
image-withheld,0.65,0.7927400468384075,677,0.9054652880354506,0.09453471196454943
image-withheld,0.66,0.7892271662763466,674,0.9065281899109793,0.09347181008902072
image-withheld,0.67,0.7798594847775175,666,0.9159159159159159,0.08408408408408408
image-withheld,0.68,0.7728337236533958,660,0.9181818181818182,0.08181818181818179
image-withheld,0.69,0.7587822014051522,648,0.9259259259259259,0.07407407407407407
image-withheld,0.7,0.7540983606557377,644,0.9285714285714286,0.0714285714285714
image-withheld,0.71,0.7540983606557377,644,0.9285714285714286,0.0714285714285714
image-withheld,0.72,0.7447306791569087,636,0.9292452830188679,0.07075471698113212
image-withheld,0.73,0.7412177985948478,633,0.9304897314375987,0.06951026856240128
image-withheld,0.74,0.7330210772833724,626,0.9345047923322684,0.06549520766773165
image-withheld,0.75,0.724824355971897,619,0.9353796445880452,0.06462035541195477
image-withheld,0.76,0.7177985948477752,613,0.9363784665579119,0.0636215334420881
image-withheld,0.77,0.7107728337236534,607,0.9390444810543658,0.060955518945634224
image-withheld,0.78,0.7002341920374707,598,0.9414715719063546,0.058528428093645446
image-withheld,0.79,0.6873536299765808,587,0.9437819420783645,0.05621805792163548
image-withheld,0.8,0.6768149882903981,578,0.9446366782006921,0.05536332179930792
image-withheld,0.81,0.6615925058548009,565,0.9486725663716814,0.0513274336283186
image-withheld,0.82,0.6451990632318502,551,0.9546279491833031,0.04537205081669693
image-withheld,0.83,0.6288056206088993,537,0.9553072625698324,0.04469273743016755
image-withheld,0.84,0.6288056206088993,537,0.9553072625698324,0.04469273743016755
image-withheld,0.85,0.617096018735363,527,0.9563567362428842,0.0436432637571158
image-withheld,0.86,0.6088992974238876,520,0.9557692307692308,0.044230769230769185
image-withheld,0.87,0.6042154566744731,516,0.9573643410852714,0.04263565891472865
image-withheld,0.88,0.5901639344262295,504,0.9682539682539683,0.031746031746031744
image-withheld,0.89,0.5843091334894613,499,0.969939879759519,0.030060120240480992
image-withheld,0.9,0.5679156908665105,485,0.977319587628866,0.02268041237113405
image-withheld,0.91,0.550351288056206,470,0.9765957446808511,0.023404255319148914
image-withheld,0.92,0.5327868852459017,455,0.9802197802197802,0.01978021978021982
image-withheld,0.93,0.5117096018735363,437,0.9839816933638444,0.016018306636155555
image-withheld,0.94,0.46604215456674475,398,0.9899497487437185,0.01005025125628145
image-withheld,0.95,0.43676814988290397,373,0.9919571045576407,0.008042895442359255
image-withheld,0.96,0.43676814988290397,373,0.9919571045576407,0.008042895442359255
image-withheld,0.97,0.40866510538641687,349,0.994269340974212,0.005730659025787954
image-withheld,0.98,0.37236533957845436,318,0.9937106918238994,0.0062893081761006275
image-withheld,0.99,0.32435597189695553,277,0.9927797833935018,0.0072202166064981865
image-withheld,1.0,0.22716627634660422,194,1.0,0.0
